init go.opentelemetry.io/otel/semconv/v1%2e37%2e0 @2.7 ms, 0.001 ms clock, 0 bytes, 0 allocs
init go.opentelemetry.io/otel/semconv/v1%2e43%2e0 @2.7 ms, 0.017 ms clock, 3000 bytes, 8 allocs
init go.opentelemetry.io/otel/trace @2.8 ms, 0.002 ms clock, 16 bytes, 2 allocs
init github.com/amp-labs/amp-common/contexts @2.8 ms, 0 ms clock, 112 bytes, 1 allocs
init golang.org/x/net/html @2.8 ms, 0.18 ms clock, 126400 bytes, 37 allocs
init golang.org/x/sys/cpu @3.0 ms, 0.079 ms clock, 3000 bytes, 7 allocs
init github.com/segmentio/asm/cpu @3.1 ms, 0.001 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @3.1 ms, 0.005 ms clock, 48 bytes, 1 allocs
init github.com/charmbracelet/x/termios @3.1 ms, 0.032 ms clock, 1704 bytes, 18 allocs
init github.com/muesli/cancelreader @3.1 ms, 0.005 ms clock, 16 bytes, 1 allocs
init golang.org/x/text/internal/language @3.2 ms, 0.015 ms clock, 4112 bytes, 8 allocs
init golang.org/x/text/internal/language/compact @3.2 ms, 0.032 ms clock, 560 bytes, 8 allocs
init golang.org/x/text/language @3.2 ms, 0.031 ms clock, 256 bytes, 3 allocs
init golang.org/x/text/encoding/htmlindex @3.2 ms, 0.007 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/cases @3.3 ms, 0.024 ms clock, 2600 bytes, 38 allocs
init golang.org/x/text/collate @3.3 ms, 0.068 ms clock, 25776 bytes, 296 allocs
init html @3.4 ms, 0.001 ms clock, 312 bytes, 4 allocs
init image @3.4 ms, 0.001 ms clock, 0 bytes, 0 allocs
init image/gif @3.4 ms, 0.007 ms clock, 72 bytes, 2 allocs
init image/jpeg @3.4 ms, 0.005 ms clock, 2264 bytes, 6 allocs
init image/png @3.4 ms, 0 ms clock, 216 bytes, 2 allocs
init internal/sysinfo @3.4 ms, 0 ms clock, 88 bytes, 2 allocs
init io/ioutil @3.4 ms, 0 ms clock, 0 bytes, 0 allocs
init log/slog @3.4 ms, 0 ms clock, 176 bytes, 3 allocs
init github.com/amp-labs/connectors/common/logging @3.4 ms, 0.001 ms clock, 16 bytes, 1 allocs
init go.opentelemetry.io/auto/sdk @3.4 ms, 0.001 ms clock, 16 bytes, 1 allocs
init crypto/rand @3.5 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/rsa @3.5 ms, 0 ms clock, 32 bytes, 2 allocs
init encoding/asn1 @3.5 ms, 0 ms clock, 48 bytes, 2 allocs
init crypto/x509/pkix @3.5 ms, 0.001 ms clock, 664 bytes, 4 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/id @3.5 ms, 0.008 ms clock, 712 bytes, 5 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/bus @3.5 ms, 0.001 ms clock, 784 bytes, 7 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/question @3.5 ms, 0.006 ms clock, 224 bytes, 4 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/router/adaptive @3.5 ms, 0.023 ms clock, 576 bytes, 9 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/router/aimdlimiter @3.6 ms, 0.007 ms clock, 336 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/router/state @3.6 ms, 0.002 ms clock, 48 bytes, 1 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/heft @3.6 ms, 0.031 ms clock, 4848 bytes, 20 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/lowjudge @3.7 ms, 0.007 ms clock, 0 bytes, 0 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/repomap @3.7 ms, 0.004 ms clock, 504 bytes, 4 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/status @3.7 ms, 0.002 ms clock, 128 bytes, 1 allocs
init github.com/aws/aws-sdk-go-v2/internal/rand @3.7 ms, 0 ms clock, 48 bytes, 2 allocs
init github.com/aws/smithy-go/rand @3.7 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/aws/smithy-go/time @3.7 ms, 0 ms clock, 48 bytes, 2 allocs
init github.com/aws/smithy-go/eventstream @3.7 ms, 0.001 ms clock, 0 bytes, 0 allocs
init github.com/segmentio/encoding/json @3.7 ms, 0.008 ms clock, 32 bytes, 1 allocs
init github.com/modelcontextprotocol/go-sdk/internal/jsonrpc2 @3.7 ms, 0 ms clock, 0 bytes, 0 allocs
init mime @3.8 ms, 0.005 ms clock, 4952 bytes, 4 allocs
init modernc.org/libc/honnef.co/go/netdb @3.8 ms, 0.26 ms clock, 119704 bytes, 1539 allocs
init modernc.org/mathutil @4.0 ms, 0.075 ms clock, 352 bytes, 15 allocs
init github.com/xo/terminfo @4.1 ms, 0.002 ms clock, 48 bytes, 1 allocs
init path/filepath @4.1 ms, 0 ms clock, 0 bytes, 0 allocs
init archive/tar @4.1 ms, 0.004 ms clock, 256 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/isolation @4.2 ms, 0.001 ms clock, 280 bytes, 3 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/knobs @4.2 ms, 0.021 ms clock, 12152 bytes, 19 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/engine/calc @4.2 ms, 0.020 ms clock, 10424 bytes, 14 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/orientation @4.2 ms, 0.006 ms clock, 1968 bytes, 8 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/mergecoordinator @4.3 ms, 0.003 ms clock, 336 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/merger @4.3 ms, 0.007 ms clock, 336 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/mergestructural @4.3 ms, 0.009 ms clock, 2392 bytes, 4 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/scriptrunner @4.3 ms, 0.007 ms clock, 336 bytes, 2 allocs
init regexp/syntax @4.3 ms, 0.010 ms clock, 2344 bytes, 6 allocs
init regexp @4.3 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/plandb @4.3 ms, 0.011 ms clock, 768 bytes, 6 allocs
