init github.com/Agent-Field/aforge-v2/internal/roles @3.2 ms, 0.020 ms clock, 672 bytes, 4 allocs
init github.com/Agent-Field/agentfield/sdk/go/types @3.2 ms, 0.003 ms clock, 512 bytes, 4 allocs
init github.com/amp-labs/connectors/internal/goutils @3.2 ms, 0.002 ms clock, 960 bytes, 15 allocs
init github.com/amp-labs/connectors/internal/datautils @3.3 ms, 0.009 ms clock, 480 bytes, 8 allocs
init github.com/dlclark/regexp2/v2/syntax @3.3 ms, 0.11 ms clock, 37664 bytes, 74 allocs
init github.com/dlclark/regexp2/v2 @3.4 ms, 0.034 ms clock, 752 bytes, 9 allocs
init github.com/modelcontextprotocol/go-sdk/internal/mcpgodebug @3.4 ms, 0.11 ms clock, 6952 bytes, 11 allocs
init go.opentelemetry.io/otel/attribute @3.6 ms, 0.042 ms clock, 0 bytes, 0 allocs
init go.opentelemetry.io/otel/codes @3.6 ms, 0.009 ms clock, 512 bytes, 4 allocs
init go.opentelemetry.io/otel/semconv/v1%2e37%2e0 @3.6 ms, 0.008 ms clock, 0 bytes, 0 allocs
init go.opentelemetry.io/otel/semconv/v1%2e43%2e0 @3.7 ms, 0.030 ms clock, 3000 bytes, 8 allocs
init go.opentelemetry.io/otel/trace @3.7 ms, 0.003 ms clock, 16 bytes, 2 allocs
init github.com/amp-labs/amp-common/contexts @3.7 ms, 0.001 ms clock, 112 bytes, 1 allocs
init golang.org/x/net/html @3.7 ms, 0.32 ms clock, 126400 bytes, 37 allocs
init golang.org/x/sys/cpu @4.0 ms, 0.11 ms clock, 3000 bytes, 7 allocs
init github.com/segmentio/asm/cpu @4.2 ms, 0.004 ms clock, 0 bytes, 0 allocs
init golang.org/x/sys/unix @4.2 ms, 0.009 ms clock, 48 bytes, 1 allocs
init github.com/charmbracelet/x/termios @4.2 ms, 0.047 ms clock, 1704 bytes, 18 allocs
init github.com/muesli/cancelreader @4.3 ms, 0.005 ms clock, 16 bytes, 1 allocs
init golang.org/x/text/internal/language @4.3 ms, 0.031 ms clock, 4112 bytes, 8 allocs
init golang.org/x/text/internal/language/compact @4.3 ms, 0.053 ms clock, 560 bytes, 8 allocs
init golang.org/x/text/language @4.4 ms, 0.040 ms clock, 256 bytes, 3 allocs
init golang.org/x/text/encoding/htmlindex @4.4 ms, 0.008 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/cases @4.5 ms, 0.055 ms clock, 2600 bytes, 38 allocs
init golang.org/x/text/collate @4.5 ms, 0.10 ms clock, 25776 bytes, 296 allocs
init html @4.6 ms, 0.001 ms clock, 312 bytes, 4 allocs
init image @4.6 ms, 0.006 ms clock, 0 bytes, 0 allocs
init image/gif @4.7 ms, 0.010 ms clock, 72 bytes, 2 allocs
